id,age,sex,bmi,children
101,41,female,31.6,0
102,30,male,25.46,0
103,18,female,30.115,0
104,61,female,29.92,3
105,34,female,27.5,1
106,20,male,28.025,1
107,19,female,28.4,1
108,26,male,30.875,2
109,29,male,27.94,0
110,63,male,35.09,0
111,54,male,33.63,1
112,55,female,29.7,2
113,37,male,30.8,0
114,21,female,35.72,0
115,52,male,32.205,3
116,60,male,28.595,0
117,58,male,49.06,0
118,29,female,27.94,1
119,49,female,27.17,0
120,37,female,23.37,2
121,44,male,37.1,2
122,18,male,23.75,0
123,20,female,28.975,0
124,44,male,31.35,1
125,47,female,33.915,3
126,26,female,28.785,0
127,19,female,28.3,0
128,52,female,37.4,0
129,32,female,17.765,2
130,38,male,34.7,2
131,59,female,26.505,0
132,61,female,22.04,0
133,53,female,35.9,2
134,19,male,25.555,0
135,20,female,28.785,0
136,22,female,28.05,0
137,19,male,34.1,0
138,22,male,25.175,0
139,54,female,31.9,3
140,22,female,36,0
141,34,male,22.42,2
142,26,male,32.49,1
143,34,male,25.3,2
144,29,male,29.735,2
145,30,male,28.69,3
146,29,female,38.83,3
147,46,male,30.495,3
148,51,female,37.73,1
149,53,female,37.43,1
150,19,male,28.4,1
151,35,male,24.13,1
152,48,male,29.7,0
153,32,female,37.145,3
154,42,female,23.37,0
155,40,female,25.46,1
156,44,male,39.52,0
157,48,male,24.42,0
158,18,male,25.175,0
159,30,male,35.53,0
160,50,female,27.83,3
161,42,female,26.6,0
162,18,female,36.85,0
163,54,male,39.6,1
164,32,female,29.8,2
165,37,male,29.64,0
166,47,male,28.215,4
167,20,female,37,5
168,32,female,33.155,3
169,19,female,31.825,1
170,27,male,18.905,3
171,63,male,41.47,0
172,49,male,30.3,0
173,18,male,15.96,0
174,35,female,34.8,1
175,24,female,33.345,0
176,63,female,37.7,0
177,38,male,27.835,2
178,54,male,29.2,1
179,46,female,28.9,2
180,41,female,33.155,3
181,58,male,28.595,0
182,18,female,38.28,0
183,22,male,19.95,3
184,44,female,26.41,0
185,44,male,30.69,2
186,36,male,41.895,3
187,26,female,29.92,2
188,30,female,30.9,3
189,41,female,32.2,1
190,29,female,32.11,2
191,61,male,31.57,0
192,36,female,26.2,0
193,25,male,25.74,0
194,56,female,26.6,1
195,18,male,34.43,0
196,19,male,30.59,0
197,39,female,32.8,0
198,45,female,28.6,2
199,51,female,18.05,0
200,64,female,39.33,0
