abalone-id,shucked_weight
a-011,0.2245
a-012,0.0995
a-013,0.2565
a-014,0.2155
a-015,0.0895
a-016,0.141
a-017,0.237
a-018,0.294
a-019,0.2165
a-020,0.3145
a-021,0.194
a-022,0.1675
a-023,0.2175
a-024,0.2725
a-025,0.1675
a-026,0.258
a-027,0.095
a-028,0.188
a-029,0.097
a-030,0.1705
a-031,0.0955
a-032,0.08
a-033,0.4275
a-034,0.318
a-035,0.513
a-036,0.3825
a-037,0.3945
a-038,0.356
a-039,0.394
a-040,0.393
a-041,0.3935
a-042,0.6055
a-043,0.5515
a-044,0.815
a-045,0.633
a-046,0.227
a-047,0.5305
a-048,0.237
a-049,0.381
a-050,0.134
a-051,0.1865
a-052,0.362
a-053,0.0315
a-054,0.0255
a-055,0.0175
a-056,0.0875
a-057,0.293
a-058,0.1775
a-059,0.0755
a-060,0.3545
a-061,0.2385
a-062,0.1335
a-063,0.2595
a-064,0.2105
a-065,0.173
a-066,0.2565
a-067,0.192
a-068,0.2765
a-069,0.042
a-070,0.246
a-071,0.18
a-072,0.305
a-073,0.302
a-074,0.1705
a-075,0.234
a-076,0.234
a-077,0.354
a-078,0.416
a-079,0.2135
a-080,0.063
a-081,0.264
a-082,0.1405
a-083,0.48
a-084,0.474
a-085,0.481
a-086,0.4425
a-087,0.3625
a-088,0.363
a-089,0.282
a-090,0.4695
a-091,0.3845
a-092,0.5105
a-093,0.396
a-094,0.408
a-095,0.38
a-096,0.339
a-097,0.4825
a-098,0.3305
a-099,0.2205
a-100,0.3135
a-101,0.341
a-102,0.307
a-103,0.4015
a-104,0.507
a-105,0.588
a-106,0.5755
a-107,0.269
a-108,0.214
a-109,0.201
a-110,0.2775
a-111,0.105
a-112,0.328
a-113,0.316
a-114,0.3105
a-115,0.4975
a-116,0.291
a-117,0.2935
a-118,0.261
a-119,0.231
a-120,0.136
a-121,0.2375
a-122,0.172
a-123,0.1485
a-124,0.13
a-125,0.2975
a-126,0.233
a-127,0.2555
a-128,0.1305
a-129,0.3465
a-130,0.1145
a-131,0.163
a-132,0.103
a-133,0.304
a-134,0.09
a-135,0.081
a-136,0.0285
a-137,0.1075
a-138,0.112
a-139,0.63
a-140,0.7665
